   165517726   134679579    68591420
   116603237   117931418    24044528
   116506087   120075867    24768904
   116358984   118402222    23690843
   116383306   118100836    23489051
   115947203   117712933    23529247
   116047326   118110461    23968791
   115922492   117724636    23923412
   115944480   117709460    23677451
   115888546   117621244    23489601
   115945828   118133360    23924759
   115945860   117783936    23639921
   115897165   117948839    23787039
   116028866   117681005    23385060
   115978953   119049309    24135238
   117964169   117786667    24002831
   115912151   117719537    23652404
   115910362   117670061    23587547
   119713681   117880342    23925052
   115927238   117882124    23594450
   116138151   117680140    23808553
   115938746   117756409    23687872
   116948651   117742574    23805847
   116446008   117749914    23731598
   115903770   117725494    23566317
   115905228   117710386    23760852
   116495323   117727578    23569138
   116003721   117717713    23663036
   115933722   117741254    23616074
   115926654   121369590    23848997
   116412049   117778098    23628151
   116006373   117701083    23729298
   115945114   117697137    23737184
   115979429   118405916    23931403
   115978472   117671541    24402411
   116110128   117670391    23702184
   116178957   117697472    23639640
   115937050   117935051    23643980
   115961350   117695857    23836870
   116079753   117727396    23755724
   116113507   117686215    23568824
   115925301   118645599    23741360
   115888613   117754329    23645170
   115934867   117702983    23540522
   115947732   117683849    23947648
   116522865   117794014    23811967
   115957075   118279516    23862685
   115920481   117757712    23457768
   115928819   117744278    23680791
   116239338   117815149    23606365
   115914709   117788945    23507002
   115950975   117762530    23636122
   115936844   118229766    23920898
   116629402   117665339    23579070
   115967118   117747743    23851408
   115914717   117957912    24020699
   115935520   117706287    23776778
   116077709   117785075    23692134
   116672770   117668625    23872478
   115849048   117623793    23835582
   115900339   117796775    23762230
   115946589   117717127    23626094
   116003949   117681281    23957763
   115953613   117692777    24201263
   115954504   118299990    23695446
   115963245   117713416    23815052
   115954267   117671800    23486367
   115942458   117832667    23871015
   115966151   118098098    23788114
   116014997   118262926    23484273
   116188475   117730535    23695745
   115872850   117668414    24064678
   116157347   117841073    23852199
   115937193   117748132    23647292
   115959777   117822052    23806262
   115919448   117730625    24056810
   116529831   117872086    23837333
   116018998   117848668    23886242
   115967680   117685364    23570102
   115911886   117749227    23501116
   116254137   117697139    23526880
   115994440   117768621    23732520
   115941688   117694072    23623278
   115925208   117687978    23833431
   116218460   117713304    24083360
   115974518   117742537    23602626
   115940664   117724293    24155732
   115967793   117923485    24327293
   116434603   117757790    23541162
   116029061   117706012    23655400
   115904867   117853977    23801958
   115922215   117985691    23683364
   115957186   117729838    23749246
   115993896   117701522    23490497
   115917368   117765622    24193883
   116021712   118004320    23548762
   115974859   117671735    23729295
   116076950   117661320    23720565
   115882582   117683656    23567830
   115937857   118417550    23599276
   115901206   117687132    24147433
   115993177   117726736    23534224
   115924459   117698976    23822797
   116192418   117796587    23818764
   116002137   117834663    23915711
   115910442   117663867    23603215
   115917408   118213925    23466505
   116221580   117714541    24088991
   116332840   118014547    23785090
   115902953   117738470    23487195
   115921503   117650177    23950204
   116631777   117709336    23698521
   115939819   117727460    23840104
   115915810   117655397    23648230
   115881535   117713953    23953933
   116193783   117760901    23891488
   116040676   117921285    23999436
   115933703   117811746    23670094
